,,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_price_gwei,gas_used,gas_used,gas_used,gas_used,gas_used,gas_used,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,gasPrice_eth,tcost_usd,tcost_usd,tcost_usd,tcost_usd,tcost_usd,tcost_usd
,,count,max,std,skew,mean,min,count,max,std,skew,mean,min,count,max,std,skew,mean,min,count,max,std,skew,mean,min
block_number,timestamp,,,,,,,,,,,,,,,,,,,,,,,,
18937480,2024-01-05 00:19:59,1134,90.0,6.8212479797508605,9.304879620514594,18.451423929325397,16.583137206,1134,458344,69498.11839230324,2.1169347521867197,72308.11111111111,21000,1134,9.000000000000001e-08,6.821247979750856e-09,0.0,1.8451423929325398e-08,1.6583137206000002e-08,1134,0.009890776589322497,0.001290869285820708,2.8496399342691006,0.0013035566987803495,0.00034824588132600004
18937481,2024-01-05 00:20:11,1980,67.765716613,4.759152830998834,6.736880185385101,17.756359225581818,15.765716613,1980,668066,89719.26441213835,2.979836016643247,80510.48636363636,21000,1980,6.7765716613e-08,4.75915283099884e-09,0.0,1.775635922558182e-08,1.5765716613000003e-08,1980,0.026464336914368926,0.0022794262479999446,6.709345119096108,0.001506345428570727,0.0003310800488730001
18937482,2024-01-05 00:20:23,1386,68.122062142,4.68234476288936,8.293514870973246,17.841795196207794,16.122062142,1386,1198934,178592.91882833352,3.3354187916097655,120730.27272727272,21000,1386,6.812206214200001e-08,4.68234476288936e-09,0.0,1.7841795196207793e-08,1.6122062142e-08,1386,0.01943725099256035,0.0032722098042248663,2.795588234364629,0.0022146341432512425,0.00033856330498200005
18937483,2024-01-05 00:20:35,1287,272.40504393,23.078505915951595,9.526085335246684,21.39400598708392,16.604711272,1287,1877952,173484.62100120273,7.8537209221362705,97036.55944055945,21000,1287,2.7240504393e-07,2.3078505915951587e-08,0.0,2.1394005987083917e-08,1.6604711272e-08,1287,0.031201630262674945,0.0036339308361539088,5.971841059356094,0.001991231250568367,0.000348698936712
18937484,2024-01-05 00:20:47,1431,51.890124069,4.515888233165445,5.031888912836325,18.47613589044025,16.449212026,1431,2163571,210199.2480106288,6.883399165338063,107875.61635220126,21000,1431,5.189012406900001e-08,4.5158882331654415e-09,0.0,1.8476135890440252e-08,1.6449212026000003e-08,1431,0.03667082361230485,0.003701808965066214,6.126977259092768,0.002010998350829408,0.00034543345254600005
18937485,2024-01-05 00:20:59,846,96.770684411,8.29526434356247,8.821649719303702,18.970970421968083,16.744231796,846,379955,80229.12428325595,1.431481914837739,83829.52127659574,21000,846,9.6770684411e-08,8.295264343562475e-09,0.0,1.8970970421968086e-08,1.6744231796e-08,846,0.01693351498234325,0.0021089037975108487,4.393437301191519,0.0016337801178032303,0.000353728867716
18937486,2024-01-05 00:21:11,1881,90.0,5.67862604805847,9.941297191844805,17.963316790440192,15.750737222,1881,1830248,177038.2640952976,6.873106072208627,83505.93301435407,21000,1881,9.000000000000001e-08,5.678626048058473e-09,0.0,1.7963316790440193e-08,1.5750737222000002e-08,1881,0.030658003299091057,0.002889116553438402,7.004094608345861,0.0014171745699750502,0.00033076548166200006
18937487,2024-01-05 00:21:23,1539,585.092961649,43.43126415031379,12.776614432178658,21.914524912766083,16.072674415,1539,2495446,410794.754816765,3.9284272937776423,175289.14619883042,21000,1539,5.85092961649e-07,4.3431264150313784e-08,0.0,2.1914524912766084e-08,1.6072674415000004e-08,1539,0.06649464490548555,0.008990006772436963,4.459585516464323,0.0035829506421508083,0.00033962616271500005
18937488,2024-01-05 00:21:35,981,38.078335772,2.7274963109479025,4.379866328414729,19.32588120491743,18.078335772,981,1441193,181620.10646704552,5.643966259425526,92037.99082568807,21000,981,3.8078335772000005e-08,2.7274963109479025e-09,0.0,1.9325881204917436e-08,1.8078335772000002e-08,981,0.026068782896256002,0.003326245357963334,5.424677311593801,0.0017538006049332186,0.00037964505121200004
18937489,2024-01-05 00:21:47,1485,317.329913914,23.87931532734633,11.675316931167224,21.036336206636363,17.329913914,1485,2432648,206239.42067362266,9.006842364714068,96815.61818181818,21000,1485,3.17329913914e-07,2.387931532734631e-08,0.0,2.1036336206636366e-08,1.7329913914e-08,1485,0.050576993669355065,0.005548993358768554,6.971953884152388,0.0022083420828147536,0.000363928192194
